Country,Localite,Category,Value,Date,Sources
Guinea,Gueckedou,Cases,140,05/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,99,05/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,6,05/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,05/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,05/2014,Ministere de la Sante
Guinea,Macenta,Deaths,16,05/2014,Ministere de la Sante
Guinea,National,Cases,226,05/2014,Ministere de la Sante
Guinea,National,Confirmed cases,127,05/2014,Ministere de la Sante
Guinea,National,Deaths,149,05/2014,Ministere de la Sante
Liberia,Bong County,Cases,1,05/2014,UNICEF
Liberia,Lofa County,Cases,7,05/2014,UNICEF
Liberia,Margibi County,Cases,2,05/2014,UNICEF
Liberia,Montserrado County,Cases,1,05/2014,UNICEF
Liberia,National,Cases,13,05/2014,UNICEF
Liberia,National,Confirmed cases,6,05/2014,UNICEF
Liberia,National,Deaths,11,05/2014,UNICEF
Liberia,Nimba County,Cases,2,05/2014,UNICEF
Guinea,Conakry,Cases,53,05/2014,Ministere de la Sante
Guinea,Conakry,Deaths,24,05/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,05/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,05/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,145,05/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,105,05/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,6,05/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,05/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,05/2014,Ministere de la Sante
Guinea,Macenta,Deaths,16,05/2014,Ministere de la Sante
Guinea,National,Cases,231,05/2014,Ministere de la Sante
Guinea,National,Confirmed cases,127,05/2014,Ministere de la Sante
Guinea,National,Deaths,155,05/2014,Ministere de la Sante
Guinea,Conakry,Cases,53,05/2014,Ministere de la Sante
Guinea,Conakry,Deaths,24,05/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,05/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,05/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,149,05/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,107,05/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,6,05/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,05/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,05/2014,Ministere de la Sante
Guinea,Macenta,Deaths,16,05/2014,Ministere de la Sante
Guinea,National,Cases,235,05/2014,Ministere de la Sante
Guinea,National,Confirmed cases,127,05/2014,Ministere de la Sante
Guinea,National,Deaths,157,05/2014,Ministere de la Sante
Guinea,Conakry,Cases,53,05/2014,Ministere de la Sante
Guinea,Conakry,Deaths,24,05/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,05/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,05/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,151,05/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,108,05/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,6,05/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,05/2014,Ministere de la Sante
Guinea,Macenta,Cases,22,05/2014,Ministere de la Sante
Guinea,Macenta,Deaths,16,05/2014,Ministere de la Sante
Guinea,National,Cases,236,05/2014,Ministere de la Sante
Guinea,National,Confirmed cases,129,05/2014,Ministere de la Sante
Guinea,National,Deaths,158,05/2014,Ministere de la Sante
Liberia,Bong County,Cases,1,05/2014,UNICEF
Liberia,Lofa County,Cases,7,05/2014,UNICEF
Liberia,Margibi County,Cases,2,05/2014,UNICEF
Liberia,National,Cases,12,05/2014,UNICEF
Liberia,National,Confirmed cases,6,05/2014,UNICEF
Liberia,National,Deaths,11,05/2014,UNICEF
Liberia,Nimba County,Cases,2,05/2014,UNICEF
Guinea,Conakry,Cases,50,05/2014,Ministere de la Sante
Guinea,Conakry,Deaths,24,05/2014,Ministere de la Sante
Guinea,Dabola ,Cases,4,05/2014,Ministere de la Sante
Guinea,Dabola ,Deaths,4,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Cases,1,05/2014,Ministere de la Sante
Guinea,Dinguiraye ,Deaths,1,05/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,149,05/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,106,05/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,6,05/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,05/2014,Ministere de la Sante
Guinea,Macenta,Cases,23,05/2014,Ministere de la Sante
Guinea,Macenta,Deaths,17,05/2014,Ministere de la Sante
